frp,bright_ti4,bright_ti5,dist_refinery,dist_factory,dist_industrial_zone,dist_oil_gas,dist_mining,dist_forest,dist_agriculture,dist_powerplant,has_refinery_5km,has_powerplant_5km,has_factory_5km,has_industrial_2km,count_ind_5km,count_ref_5km,label,latitude,longitude
3.11,335.77,306.41,2.863,0.45,0.45,2.094,3.778,1.838,1.084,5.235,1.0,0.0,1.0,1.0,3.0,1.0,gas_flare,6.74882,81.53226
3.24,336.66,306.47,2.863,0.45,0.45,2.094,3.778,1.838,1.084,5.235,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,6.74896,81.53299
4.91,338.04,302.1,2.863,0.45,0.45,2.094,3.778,1.838,1.084,5.235,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,6.77788,81.78619
6.68,349.29,305.52,2.863,0.45,0.45,2.094,3.778,1.838,1.084,5.235,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,6.7977,81.55489
3.16,340.43,305.15,2.863,0.45,0.45,2.094,3.778,1.838,1.084,5.235,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,6.81451,81.55614
2.63,339.07,303.18,2.863,0.45,0.45,2.094,3.778,1.838,1.084,5.235,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,6.81849,81.5262
3.02,332.96,297.4,2.863,0.45,0.45,2.094,3.778,1.838,1.084,5.234,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,6.863,81.43449
3.31,331.54,301.71,2.863,0.45,0.45,2.094,3.778,1.838,1.084,5.234,1.0,0.0,1.0,1.0,3.0,1.0,gas_flare,6.89576,81.66621
6.91,336.56,304.75,2.862,0.45,0.45,2.094,3.778,1.838,1.084,5.234,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,6.96385,81.61536
3.69,344.36,303.03,2.862,0.45,0.45,2.094,3.777,1.838,1.084,5.234,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,7.01565,81.40194
2.25,332.84,302.79,2.862,0.45,0.45,2.094,3.777,1.838,1.084,5.234,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,7.01929,81.60059
4.05,335.1,305.92,2.862,0.45,0.45,2.093,3.777,1.838,1.084,5.234,1.0,0.0,1.0,1.0,3.0,1.0,gas_flare,7.10918,81.68468
2.12,330.14,297.2,2.862,0.45,0.45,2.093,3.777,1.838,1.084,5.234,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,7.13256,81.41004
5.44,337.99,306.07,2.862,0.45,0.45,2.093,3.777,1.838,1.084,5.233,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,7.21619,81.59032
2.91,330.44,303.55,2.862,0.45,0.45,2.093,3.777,1.838,1.084,5.233,1.0,0.0,1.0,1.0,3.0,1.0,gas_flare,7.27317,81.1773
4.38,337.26,305.53,2.862,0.45,0.45,2.093,3.777,1.838,1.084,5.233,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,7.27678,81.14547
4.38,337.79,306.06,2.862,0.45,0.45,2.093,3.777,1.838,1.084,5.233,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,7.27753,81.15067
5.24,340.82,306.6,2.862,0.45,0.45,2.093,3.777,1.838,1.084,5.233,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,7.27994,81.59621
2.34,332.54,303.12,2.862,0.45,0.45,2.093,3.777,1.838,1.084,5.233,1.0,0.0,1.0,1.0,3.0,1.0,gas_flare,7.29368,81.80795
6.49,334.42,304.81,2.862,0.45,0.45,2.093,3.777,1.838,1.084,5.233,1.0,0.0,1.0,1.0,3.0,1.0,gas_flare,7.31546,81.10326
9.05,336.91,305.81,2.862,0.45,0.45,2.093,3.777,1.838,1.084,5.233,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,7.31621,81.10839
5.41,344.78,299.4,2.862,0.45,0.45,2.093,3.777,1.838,1.084,5.233,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,7.31681,81.76224
2.2,336.09,306.09,2.862,0.45,0.45,2.093,3.777,1.838,1.084,5.233,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,7.32021,81.10786
2.59,340.57,303.84,2.862,0.45,0.45,2.093,3.777,1.838,1.084,5.233,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,7.32289,81.80387
2.14,331.97,303.42,2.862,0.45,0.45,2.093,3.777,1.838,1.084,5.233,1.0,0.0,1.0,1.0,3.0,1.0,gas_flare,7.3236,81.80315
5.09,344.58,307.22,2.862,0.45,0.45,2.093,3.777,1.838,1.084,5.233,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,7.32474,81.2229
10.19,357.22,311.78,2.862,0.45,0.45,2.093,3.777,1.838,1.084,5.233,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,7.33473,81.20717
3.47,336.86,300.35,2.862,0.45,0.45,2.093,3.777,1.838,1.084,5.233,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,7.34377,81.73465
3.8,336.49,309.58,2.862,0.45,0.45,2.093,3.777,1.838,1.083,5.233,1.0,0.0,1.0,1.0,3.0,1.0,gas_flare,7.35118,81.19792
2.2,335.23,303.61,2.862,0.45,0.45,2.093,3.777,1.838,1.083,5.233,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,7.35132,81.81868
3.8,348.5,310.47,2.862,0.45,0.45,2.093,3.777,1.838,1.083,5.233,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,7.35166,81.2014
6.09,344.63,310.14,2.862,0.45,0.45,2.093,3.777,1.838,1.083,5.233,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,7.35215,81.2049
6.09,348.0,307.54,2.862,0.45,0.45,2.093,3.777,1.838,1.083,5.233,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,7.35264,81.2084
4.46,340.63,304.1,2.862,0.45,0.45,2.093,3.777,1.838,1.083,5.233,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,7.35635,81.76369
4.19,330.83,303.42,2.862,0.45,0.45,2.093,3.777,1.838,1.083,5.233,1.0,0.0,1.0,1.0,3.0,1.0,gas_flare,7.36431,81.55346
19.27,343.12,306.31,2.862,0.45,0.45,2.093,3.777,1.838,1.083,5.233,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,7.36655,81.24904
5.08,338.06,304.2,2.862,0.45,0.45,2.093,3.777,1.838,1.083,5.233,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,7.36683,81.77773
2.71,332.45,303.73,2.862,0.45,0.45,2.093,3.777,1.838,1.083,5.233,1.0,0.0,1.0,1.0,3.0,1.0,gas_flare,7.36748,81.57545
5.71,342.4,303.29,2.862,0.45,0.45,2.093,3.777,1.838,1.083,5.233,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,7.37411,81.56326
3.11,336.16,306.84,2.862,0.45,0.45,2.093,3.777,1.838,1.083,5.233,1.0,0.0,1.0,1.0,3.0,1.0,gas_flare,7.37766,81.24046
3.86,331.05,302.66,2.862,0.45,0.45,2.093,3.777,1.838,1.083,5.233,1.0,0.0,1.0,1.0,3.0,1.0,gas_flare,7.37768,81.55894
4.46,340.43,299.81,2.862,0.45,0.45,2.093,3.777,1.838,1.083,5.233,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,7.3884,81.54617
4.08,338.13,298.51,2.862,0.45,0.45,2.093,3.777,1.838,1.083,5.233,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,7.38893,81.54981
4.74,342.88,300.33,2.862,0.45,0.45,2.093,3.777,1.838,1.083,5.233,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,7.39143,81.54616
5.04,343.05,300.78,2.862,0.45,0.45,2.093,3.777,1.838,1.083,5.233,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,7.39302,81.54917
8.59,349.53,303.82,2.862,0.45,0.45,2.093,3.777,1.838,1.083,5.233,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,7.39604,81.54919
5.04,336.74,302.96,2.862,0.45,0.45,2.093,3.777,1.838,1.083,5.233,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,7.39712,81.54854
3.36,342.42,303.84,2.862,0.45,0.45,2.093,3.777,1.838,1.083,5.233,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,7.4049,81.77624
2.32,341.29,302.85,2.861,0.45,0.45,2.093,3.777,1.838,1.083,5.233,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,7.4156,81.56924
4.3,337.73,307.01,2.861,0.45,0.45,2.093,3.777,1.838,1.083,5.233,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,7.43686,81.39532
4.43,340.99,309.94,2.861,0.45,0.45,2.093,3.777,1.838,1.083,5.233,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,7.43925,81.32561
4.67,340.72,308.95,2.861,0.45,0.45,2.093,3.777,1.838,1.083,5.233,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,7.45403,81.34198
3.44,337.26,305.58,2.861,0.45,0.45,2.093,3.777,1.838,1.083,5.233,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,7.4743,81.05003
3.0,338.59,306.08,2.861,0.45,0.45,2.093,3.777,1.838,1.083,5.232,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,7.48906,81.38728
2.27,334.71,305.47,2.861,0.45,0.45,2.093,3.777,1.838,1.083,5.232,1.0,0.0,1.0,1.0,3.0,1.0,gas_flare,7.51956,81.30991
15.47,356.38,313.13,2.861,0.45,0.45,2.093,3.777,1.838,1.083,5.232,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,7.61757,81.15485
34.65,367.0,311.16,2.861,0.45,0.45,2.093,3.777,1.838,1.083,5.232,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,7.61807,81.15833
15.47,335.61,306.78,2.861,0.45,0.45,2.093,3.777,1.838,1.083,5.232,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,7.62159,81.15429
6.52,347.74,308.37,2.861,0.45,0.45,2.093,3.777,1.838,1.083,5.232,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,7.67645,81.44918
2.33,336.39,305.85,2.861,0.45,0.45,2.093,3.776,1.838,1.083,5.232,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,7.69219,81.52925
9.22,341.02,306.64,2.861,0.45,0.45,2.093,3.776,1.837,1.083,5.231,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,7.78376,81.21587
7.08,334.77,303.53,2.861,0.45,0.45,2.093,3.776,1.837,1.083,5.231,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,7.78425,81.21941
4.97,339.35,308.72,2.861,0.45,0.45,2.093,3.776,1.837,1.083,5.231,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,7.80813,81.45168
4.33,342.3,308.39,2.861,0.45,0.45,2.093,3.776,1.837,1.083,5.231,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,7.80942,81.45202
7.87,338.02,308.95,2.861,0.45,0.45,2.093,3.776,1.837,1.083,5.231,1.0,0.0,1.0,1.0,3.0,1.0,gas_flare,7.81643,81.36108
4.66,336.09,308.48,2.86,0.45,0.45,2.092,3.776,1.837,1.083,5.231,1.0,0.0,1.0,1.0,3.0,1.0,gas_flare,7.87288,81.46512
9.46,347.81,308.64,2.86,0.45,0.45,2.092,3.776,1.837,1.083,5.231,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,7.87428,81.41622
2.3,330.12,284.72,2.859,0.45,0.45,2.091,3.775,1.837,1.083,5.228,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,8.60875,77.83811
4.32,339.42,301.37,2.858,0.45,0.45,2.091,3.775,1.836,1.083,5.228,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,8.78732,78.01003
2.62,335.36,296.09,2.858,0.45,0.45,2.091,3.775,1.836,1.083,5.228,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,8.80542,78.10815
3.0,336.67,297.2,2.858,0.45,0.45,2.091,3.775,1.836,1.083,5.227,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,8.88687,77.78855
1.37,335.65,296.51,2.858,0.45,0.45,2.091,3.775,1.836,1.083,5.227,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,8.91,77.59529
2.9,333.2,296.5,2.858,0.45,0.45,2.091,3.775,1.836,1.083,5.227,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,8.93239,77.96133
2.9,349.29,296.81,2.858,0.45,0.45,2.091,3.775,1.836,1.083,5.227,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,8.93294,77.9651
1.37,334.29,298.66,2.857,0.45,0.45,2.091,3.774,1.836,1.083,5.226,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,9.11369,77.77237
1.56,331.35,293.35,2.857,0.45,0.45,2.091,3.774,1.836,1.083,5.226,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,9.15121,78.32916
2.53,333.17,290.35,2.857,0.45,0.45,2.09,3.774,1.836,1.083,5.226,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,9.32007,77.4914
4.05,328.22,295.28,2.857,0.45,0.45,2.09,3.774,1.836,1.083,5.225,1.0,0.0,1.0,1.0,3.0,1.0,gas_flare,9.40266,80.43048
1.83,331.15,292.84,2.857,0.45,0.45,2.09,3.774,1.836,1.083,5.225,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,9.42778,80.38101
5.42,357.05,290.55,2.856,0.45,0.45,2.09,3.774,1.836,1.083,5.225,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,9.44417,77.66956
5.42,339.12,287.31,2.856,0.45,0.45,2.09,3.774,1.836,1.083,5.225,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,9.44472,77.67329
7.59,342.98,299.79,2.856,0.45,0.45,2.09,3.774,1.836,1.083,5.225,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,9.49209,77.66238
10.29,343.56,303.22,2.856,0.45,0.45,2.09,3.773,1.836,1.083,5.225,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,9.51278,78.066
1.05,331.44,303.27,2.855,0.45,0.45,2.089,3.773,1.835,1.082,5.223,1.0,0.0,1.0,1.0,3.0,1.0,gas_flare,9.82619,77.39869
4.18,338.34,303.91,2.855,0.45,0.45,2.089,3.773,1.835,1.082,5.223,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,9.86126,78.18573
1.97,336.6,294.37,2.855,0.45,0.45,2.089,3.773,1.835,1.082,5.223,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,9.87797,78.03197
0.94,333.81,298.59,2.855,0.45,0.45,2.089,3.773,1.835,1.082,5.223,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,10.00316,76.4542
61.33,335.6,301.41,2.849,0.45,0.45,2.086,3.769,1.832,1.081,5.214,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,11.80984,77.21425
3.7,338.02,303.8,2.848,0.45,0.45,2.085,3.768,1.832,1.081,5.213,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,12.07999,76.99017
3.61,336.89,298.79,2.847,0.45,0.45,2.084,3.767,1.831,1.081,5.21,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,12.48661,76.3177
2.64,333.07,291.11,2.846,0.45,0.45,2.083,3.766,1.831,1.081,5.209,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,12.81456,78.60983
2.81,331.18,299.53,2.841,0.45,0.45,2.081,3.764,1.829,1.08,5.202,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,13.9402,78.66064
3.16,330.58,297.69,2.841,0.45,0.45,2.081,3.763,1.829,1.08,5.202,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,13.99587,79.86121
3.06,342.86,298.23,2.84,0.45,0.45,2.08,3.763,1.828,1.08,5.2,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,14.18999,77.3446
3.76,337.34,294.69,2.84,0.45,0.45,2.08,3.763,1.828,1.079,5.2,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,14.29174,77.98407
3.47,335.71,300.01,2.84,0.45,0.45,2.08,3.762,1.828,1.079,5.199,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,14.3499,77.63499
1.87,330.15,297.16,2.839,0.45,0.45,2.079,3.762,1.828,1.079,5.199,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,14.4991,79.69765
1.54,336.85,296.91,2.839,0.45,0.45,2.079,3.762,1.828,1.079,5.199,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,14.50312,79.69711
2.11,333.67,291.89,2.838,0.45,0.45,2.079,3.762,1.828,1.079,5.197,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,14.67836,76.89172
2.12,331.61,295.71,2.838,0.45,0.45,2.079,3.762,1.828,1.079,5.197,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,14.69206,79.62556
7.26,342.4,295.02,2.838,0.45,0.45,2.079,3.761,1.828,1.079,5.197,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,14.71446,79.98879
2.01,332.45,299.84,2.838,0.45,0.45,2.079,3.761,1.827,1.079,5.196,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,14.84624,78.37249
2.43,333.31,291.37,2.835,0.45,0.45,2.077,3.759,1.826,1.079,5.192,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,15.43925,77.664
4.06,343.13,289.76,2.833,0.45,0.45,2.076,3.758,1.825,1.078,5.189,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,15.93384,79.5267
2.03,333.97,293.26,2.814,0.45,0.45,2.064,3.745,1.817,1.075,5.16,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,19.7772,73.79005
1.91,334.94,291.83,2.806,0.45,0.45,2.059,3.74,1.813,1.073,5.148,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,21.17639,74.58324
0.57,332.13,304.36,2.745,0.45,0.45,2.023,3.701,1.787,1.062,5.057,1.0,0.0,1.0,1.0,3.0,1.0,gas_flare,30.02923,71.74337
1.66,334.33,303.89,2.745,0.45,0.45,2.023,3.701,1.787,1.062,5.056,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,30.08648,71.7243
3.03,335.4,305.78,2.745,0.45,0.45,2.022,3.701,1.787,1.062,5.056,1.0,0.0,1.0,1.0,3.0,1.0,gas_flare,30.11638,73.26059
5.74,336.37,305.23,2.745,0.45,0.45,2.022,3.701,1.787,1.062,5.056,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,30.11697,73.26498
3.35,331.57,302.09,2.744,0.45,0.45,2.022,3.7,1.786,1.062,5.055,1.0,0.0,1.0,1.0,3.0,1.0,gas_flare,30.16407,74.51582
1.82,334.44,300.2,2.743,0.45,0.45,2.021,3.699,1.786,1.061,5.053,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,30.35123,73.65195
2.87,335.57,299.41,2.742,0.45,0.45,2.021,3.699,1.785,1.061,5.051,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,30.51386,73.90864
9.69,345.2,299.84,2.737,0.45,0.45,2.018,3.696,1.783,1.06,5.044,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,31.10913,74.49384
4.14,342.96,300.91,2.737,0.45,0.45,2.018,3.696,1.783,1.06,5.044,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,31.12675,74.30208
3.87,337.22,300.68,2.736,0.45,0.45,2.017,3.695,1.783,1.06,5.043,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,31.2082,73.91856
2.3,331.16,299.86,2.736,0.45,0.45,2.017,3.695,1.783,1.06,5.043,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,31.2118,73.91795
1.87,333.23,300.88,2.735,0.45,0.45,2.016,3.694,1.782,1.06,5.041,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,31.39489,72.12487
3.19,331.22,300.79,2.735,0.45,0.45,2.016,3.694,1.782,1.06,5.041,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,31.4235,72.12935
3.6,335.84,301.51,2.734,0.45,0.45,2.016,3.694,1.782,1.06,5.04,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,31.46879,72.1555
2.25,334.87,302.29,2.733,0.45,0.45,2.016,3.693,1.782,1.06,5.039,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,31.56918,72.22474
1.98,340.52,301.32,2.733,0.45,0.45,2.016,3.693,1.782,1.06,5.039,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,31.56943,72.27724
2.12,337.8,299.58,2.733,0.45,0.45,2.016,3.693,1.782,1.06,5.039,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,31.58139,72.28816
3.08,337.5,301.33,2.73,0.45,0.45,2.013,3.691,1.78,1.059,5.033,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,32.05318,73.38254
2.2,330.89,299.99,2.729,0.45,0.45,2.013,3.691,1.78,1.059,5.033,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,32.09223,73.23719
3.64,337.47,297.34,2.728,0.45,0.45,2.012,3.69,1.779,1.059,5.03,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,32.30693,73.28819
1.77,331.99,303.18,2.723,0.45,0.45,2.009,3.687,1.777,1.058,5.023,1.0,0.0,1.0,1.0,3.0,1.0,gas_flare,32.8883,71.61584
3.52,340.44,315.16,2.717,0.45,0.45,2.006,3.683,1.774,1.057,5.014,1.0,0.0,1.0,1.0,3.0,1.0,gas_flare,33.58202,69.2417
3.38,340.8,297.4,2.715,0.45,0.45,2.004,3.681,1.774,1.056,5.011,1.0,0.0,1.0,1.0,3.0,1.0,industrial_fire,33.84936,72.20547
1.72,296.16,280.67,2.862,0.45,0.45,2.093,3.777,1.838,1.084,5.234,1.0,0.0,1.0,1.0,3.0,1.0,gas_flare,7.13631,81.13902
3.59,297.7,283.35,2.862,0.45,0.45,2.093,3.777,1.838,1.084,5.234,1.0,0.0,1.0,1.0,3.0,1.0,gas_flare,7.14013,81.1341
1.34,304.2,288.27,2.862,0.45,0.45,2.093,3.777,1.838,1.084,5.233,1.0,0.0,1.0,1.0,3.0,1.0,gas_flare,7.28379,81.16539
0.82,303.16,288.01,2.861,0.45,0.45,2.093,3.777,1.838,1.083,5.232,1.0,0.0,1.0,1.0,3.0,1.0,gas_flare,7.6078,81.15397
1.75,309.61,287.51,2.858,0.45,0.45,2.091,3.775,1.836,1.083,5.227,1.0,0.0,1.0,1.0,3.0,1.0,gas_flare,8.86712,81.02701
2.71,316.5,287.9,2.858,0.45,0.45,2.091,3.775,1.836,1.083,5.227,1.0,0.0,1.0,1.0,3.0,1.0,gas_flare,8.86843,81.02491
0.61,311.52,295.45,2.733,0.45,0.45,2.015,3.693,1.781,1.06,5.038,1.0,0.0,1.0,1.0,3.0,1.0,gas_flare,31.61482,74.37532
0.49,308.12,295.23,2.733,0.45,0.45,2.015,3.693,1.781,1.06,5.038,1.0,0.0,1.0,1.0,3.0,1.0,gas_flare,31.64126,74.42704
4.57,312.33,295.54,2.732,0.45,0.45,2.015,3.692,1.781,1.059,5.036,1.0,0.0,1.0,1.0,3.0,1.0,gas_flare,31.769,70.10805
